week,week_start,sku,demand
30,2025-01-20,KIT-002,67
31,2025-01-27,KIT-002,44
32,2025-02-03,KIT-002,41
33,2025-02-10,KIT-002,43
34,2025-02-17,KIT-002,30
35,2025-02-24,KIT-002,62
36,2025-03-03,KIT-002,37
37,2025-03-10,KIT-002,44
38,2025-03-17,KIT-002,33
39,2025-03-24,KIT-002,35
40,2025-03-31,KIT-002,26
41,2025-04-07,KIT-002,64
42,2025-04-14,KIT-002,43
43,2025-04-21,KIT-002,60
44,2025-04-28,KIT-002,45
45,2025-05-05,KIT-002,34
46,2025-05-12,KIT-002,40
47,2025-05-19,KIT-002,36
48,2025-05-26,KIT-002,45
49,2025-06-02,KIT-002,39
50,2025-06-09,KIT-002,40
51,2025-06-16,KIT-002,24
52,2025-06-23,KIT-002,33
53,2025-06-30,KIT-002,70
54,2025-07-07,KIT-002,35
55,2025-07-14,KIT-002,29
56,2025-07-21,KIT-002,50
57,2025-07-28,KIT-002,66
58,2025-08-04,KIT-002,23
59,2025-08-11,KIT-002,42
60,2025-08-18,KIT-002,35
61,2025-08-25,KIT-002,18
62,2025-09-01,KIT-002,56
63,2025-09-08,KIT-002,45
64,2025-09-15,KIT-002,46
65,2025-09-22,KIT-002,34
66,2025-09-29,KIT-002,52
67,2025-10-06,KIT-002,37
68,2025-10-13,KIT-002,43
69,2025-10-20,KIT-002,28
70,2025-10-27,KIT-002,26
71,2025-11-03,KIT-002,65
72,2025-11-10,KIT-002,37
73,2025-11-17,KIT-002,49
74,2025-11-24,KIT-002,44
75,2025-12-01,KIT-002,38
76,2025-12-08,KIT-002,37
77,2025-12-15,KIT-002,55
78,2025-12-22,KIT-002,40
79,2025-12-29,KIT-002,43
80,2026-01-05,KIT-002,45
81,2026-01-12,KIT-002,63
82,2026-01-19,KIT-002,55
83,2026-01-26,KIT-002,51
84,2026-02-02,KIT-002,36
85,2026-02-09,KIT-002,24
86,2026-02-16,KIT-002,59
87,2026-02-23,KIT-002,60
88,2026-03-02,KIT-002,43
89,2026-03-09,KIT-002,53
90,2026-03-16,KIT-002,57
91,2026-03-23,KIT-002,58
92,2026-03-30,KIT-002,59
93,2026-04-06,KIT-002,38
94,2026-04-13,KIT-002,68
95,2026-04-20,KIT-002,26
96,2026-04-27,KIT-002,58
97,2026-05-04,KIT-002,53
98,2026-05-11,KIT-002,58
99,2026-05-18,KIT-002,74
100,2026-05-25,KIT-002,68
101,2026-06-01,KIT-002,28
102,2026-06-08,KIT-002,19
103,2026-06-15,KIT-002,57
104,2026-06-22,KIT-002,30
1,2024-07-01,KIT-003,45
2,2024-07-08,KIT-003,51
3,2024-07-15,KIT-003,36
4,2024-07-22,KIT-003,33
5,2024-07-29,KIT-003,49
6,2024-08-05,KIT-003,48
7,2024-08-12,KIT-003,47
8,2024-08-19,KIT-003,49
9,2024-08-26,KIT-003,44
10,2024-09-02,KIT-003,39
11,2024-09-09,KIT-003,49
12,2024-09-16,KIT-003,44
13,2024-09-23,KIT-003,40
14,2024-09-30,KIT-003,56
15,2024-10-07,KIT-003,52
16,2024-10-14,KIT-003,56
17,2024-10-21,KIT-003,46
18,2024-10-28,KIT-003,49
19,2024-11-04,KIT-003,47
20,2024-11-11,KIT-003,48
21,2024-11-18,KIT-003,57
22,2024-11-25,KIT-003,50
23,2024-12-02,KIT-003,60
24,2024-12-09,KIT-003,60
25,2024-12-16,KIT-003,74
26,2024-12-23,KIT-003,47
27,2024-12-30,KIT-003,66
28,2025-01-06,KIT-003,59
29,2025-01-13,KIT-003,60
30,2025-01-20,KIT-003,48
31,2025-01-27,KIT-003,57
32,2025-02-03,KIT-003,68
33,2025-02-10,KIT-003,61
34,2025-02-17,KIT-003,63
35,2025-02-24,KIT-003,60
36,2025-03-03,KIT-003,74
37,2025-03-10,KIT-003,64
38,2025-03-17,KIT-003,45
39,2025-03-24,KIT-003,59
40,2025-03-31,KIT-003,47
41,2025-04-07,KIT-003,36
42,2025-04-14,KIT-003,61
43,2025-04-21,KIT-003,79
44,2025-04-28,KIT-003,68
45,2025-05-05,KIT-003,57
46,2025-05-12,KIT-003,59
47,2025-05-19,KIT-003,80
48,2025-05-26,KIT-003,71
49,2025-06-02,KIT-003,70
50,2025-06-09,KIT-003,70
51,2025-06-16,KIT-003,71
52,2025-06-23,KIT-003,80
53,2025-06-30,KIT-003,78
54,2025-07-07,KIT-003,75
55,2025-07-14,KIT-003,62
56,2025-07-21,KIT-003,79
57,2025-07-28,KIT-003,67
58,2025-08-04,KIT-003,86
59,2025-08-11,KIT-003,62
60,2025-08-18,KIT-003,74
61,2025-08-25,KIT-003,76
62,2025-09-01,KIT-003,62
63,2025-09-08,KIT-003,96
64,2025-09-15,KIT-003,93
65,2025-09-22,KIT-003,73
66,2025-09-29,KIT-003,87
67,2025-10-06,KIT-003,83
68,2025-10-13,KIT-003,51
69,2025-10-20,KIT-003,83
70,2025-10-27,KIT-003,80
71,2025-11-03,KIT-003,82
72,2025-11-10,KIT-003,69
73,2025-11-17,KIT-003,79
74,2025-11-24,KIT-003,81
75,2025-12-01,KIT-003,97
76,2025-12-08,KIT-003,88
77,2025-12-15,KIT-003,84
78,2025-12-22,KIT-003,103
79,2025-12-29,KIT-003,79
80,2026-01-05,KIT-003,81
81,2026-01-12,KIT-003,64
82,2026-01-19,KIT-003,106
83,2026-01-26,KIT-003,99
84,2026-02-02,KIT-003,99
85,2026-02-09,KIT-003,97
86,2026-02-16,KIT-003,90
87,2026-02-23,KIT-003,92
88,2026-03-02,KIT-003,87
89,2026-03-09,KIT-003,88
90,2026-03-16,KIT-003,92
91,2026-03-23,KIT-003,111
92,2026-03-30,KIT-003,99
93,2026-04-06,KIT-003,92
94,2026-04-13,KIT-003,85
95,2026-04-20,KIT-003,85
96,2026-04-27,KIT-003,115
97,2026-05-04,KIT-003,101
98,2026-05-11,KIT-003,96
99,2026-05-18,KIT-003,91
100,2026-05-25,KIT-003,81
101,2026-06-01,KIT-003,96
102,2026-06-08,KIT-003,109
103,2026-06-15,KIT-003,92
104,2026-06-22,KIT-003,95
1,2024-07-01,KIT-004,91
2,2024-07-08,KIT-004,75
3,2024-07-15,KIT-004,88
4,2024-07-22,KIT-004,82
5,2024-07-29,KIT-004,99
6,2024-08-05,KIT-004,83
7,2024-08-12,KIT-004,96
8,2024-08-19,KIT-004,105
9,2024-08-26,KIT-004,87
10,2024-09-02,KIT-004,84
11,2024-09-09,KIT-004,92
12,2024-09-16,KIT-004,90
13,2024-09-23,KIT-004,80
14,2024-09-30,KIT-004,94
15,2024-10-07,KIT-004,109
16,2024-10-14,KIT-004,88
17,2024-10-21,KIT-004,88
18,2024-10-28,KIT-004,80
19,2024-11-04,KIT-004,93
20,2024-11-11,KIT-004,78
21,2024-11-18,KIT-004,79
22,2024-11-25,KIT-004,102
23,2024-12-02,KIT-004,81
24,2024-12-09,KIT-004,100
25,2024-12-16,KIT-004,105
26,2024-12-23,KIT-004,92
27,2024-12-30,KIT-004,95
28,2025-01-06,KIT-004,109
29,2025-01-13,KIT-004,88
30,2025-01-20,KIT-004,84
31,2025-01-27,KIT-004,77
32,2025-02-03,KIT-004,90
33,2025-02-10,KIT-004,104
34,2025-02-17,KIT-004,99
35,2025-02-24,KIT-004,81
36,2025-03-03,KIT-004,82
37,2025-03-10,KIT-004,85
38,2025-03-17,KIT-004,93
39,2025-03-24,KIT-004,88
40,2025-03-31,KIT-004,92
41,2025-04-07,KIT-004,93
42,2025-04-14,KIT-004,87
43,2025-04-21,KIT-004,90
44,2025-04-28,KIT-004,92
45,2025-05-05,KIT-004,89
46,2025-05-12,KIT-004,95
47,2025-05-19,KIT-004,108
48,2025-05-26,KIT-004,96
49,2025-06-02,KIT-004,91
50,2025-06-09,KIT-004,74
51,2025-06-16,KIT-004,94
52,2025-06-23,KIT-004,71
53,2025-06-30,KIT-004,76
54,2025-07-07,KIT-004,98
55,2025-07-14,KIT-004,97
56,2025-07-21,KIT-004,89
57,2025-07-28,KIT-004,74
58,2025-08-04,KIT-004,86
59,2025-08-11,KIT-004,83
60,2025-08-18,KIT-004,96
61,2025-08-25,KIT-004,112
62,2025-09-01,KIT-004,92
63,2025-09-08,KIT-004,83
64,2025-09-15,KIT-004,79
65,2025-09-22,KIT-004,89
66,2025-09-29,KIT-004,88
67,2025-10-06,KIT-004,79
68,2025-10-13,KIT-004,91
69,2025-10-20,KIT-004,79
70,2025-10-27,KIT-004,101
71,2025-11-03,KIT-004,100
72,2025-11-10,KIT-004,100
73,2025-11-17,KIT-004,85
74,2025-11-24,KIT-004,95
75,2025-12-01,KIT-004,89
76,2025-12-08,KIT-004,86
77,2025-12-15,KIT-004,87
78,2025-12-22,KIT-004,77
79,2025-12-29,KIT-004,76
80,2026-01-05,KIT-004,98
81,2026-01-12,KIT-004,88
82,2026-01-19,KIT-004,92
83,2026-01-26,KIT-004,100
84,2026-02-02,KIT-004,73
85,2026-02-09,KIT-004,82
86,2026-02-16,KIT-004,92
87,2026-02-23,KIT-004,94
88,2026-03-02,KIT-004,86
89,2026-03-09,KIT-004,100
90,2026-03-16,KIT-004,92
91,2026-03-23,KIT-004,78
92,2026-03-30,KIT-004,81
93,2026-04-06,KIT-004,98
94,2026-04-13,KIT-004,94
95,2026-04-20,KIT-004,72
96,2026-04-27,KIT-004,103
97,2026-05-04,KIT-004,96
98,2026-05-11,KIT-004,103
99,2026-05-18,KIT-004,86
100,2026-05-25,KIT-004,87
101,2026-06-01,KIT-004,79
102,2026-06-08,KIT-004,114
103,2026-06-15,KIT-004,88
104,2026-06-22,KIT-004,105
1,2024-07-01,KIT-005,43
2,2024-07-08,KIT-005,48
3,2024-07-15,KIT-005,36
4,2024-07-22,KIT-005,44
5,2024-07-29,KIT-005,53
6,2024-08-05,KIT-005,38
7,2024-08-12,KIT-005,53
8,2024-08-19,KIT-005,48
9,2024-08-26,KIT-005,39
10,2024-09-02,KIT-005,42
11,2024-09-09,KIT-005,42
12,2024-09-16,KIT-005,44
13,2024-09-23,KIT-005,41
14,2024-09-30,KIT-005,39
15,2024-10-07,KIT-005,42
16,2024-10-14,KIT-005,37
17,2024-10-21,KIT-005,36
18,2024-10-28,KIT-005,43
19,2024-11-04,KIT-005,48
20,2024-11-11,KIT-005,34
21,2024-11-18,KIT-005,43
22,2024-11-25,KIT-005,38
23,2024-12-02,KIT-005,36
24,2024-12-09,KIT-005,47
25,2024-12-16,KIT-005,39
26,2024-12-23,KIT-005,50
27,2024-12-30,KIT-005,37
28,2025-01-06,KIT-005,43
29,2025-01-13,KIT-005,39
30,2025-01-20,KIT-005,36
31,2025-01-27,KIT-005,43
32,2025-02-03,KIT-005,39
33,2025-02-10,KIT-005,43
34,2025-02-17,KIT-005,39
35,2025-02-24,KIT-005,33
36,2025-03-03,KIT-005,38
37,2025-03-10,KIT-005,39
38,2025-03-17,KIT-005,44
39,2025-03-24,KIT-005,33
40,2025-03-31,KIT-005,38
41,2025-04-07,KIT-005,29
42,2025-04-14,KIT-005,41
43,2025-04-21,KIT-005,32
44,2025-04-28,KIT-005,28
45,2025-05-05,KIT-005,36
46,2025-05-12,KIT-005,42
47,2025-05-19,KIT-005,29
48,2025-05-26,KIT-005,31
49,2025-06-02,KIT-005,32
50,2025-06-09,KIT-005,30
51,2025-06-16,KIT-005,37
52,2025-06-23,KIT-005,31
53,2025-06-30,KIT-005,31
54,2025-07-07,KIT-005,37
55,2025-07-14,KIT-005,31
56,2025-07-21,KIT-005,36
57,2025-07-28,KIT-005,29
58,2025-08-04,KIT-005,28
59,2025-08-11,KIT-005,25
60,2025-08-18,KIT-005,42
61,2025-08-25,KIT-005,31
62,2025-09-01,KIT-005,34
63,2025-09-08,KIT-005,32
64,2025-09-15,KIT-005,33
65,2025-09-22,KIT-005,32
66,2025-09-29,KIT-005,40
67,2025-10-06,KIT-005,27
68,2025-10-13,KIT-005,24
69,2025-10-20,KIT-005,27
70,2025-10-27,KIT-005,25
71,2025-11-03,KIT-005,34
72,2025-11-10,KIT-005,34
73,2025-11-17,KIT-005,26
74,2025-11-24,KIT-005,24
75,2025-12-01,KIT-005,28
76,2025-12-08,KIT-005,35
77,2025-12-15,KIT-005,18
78,2025-12-22,KIT-005,31
79,2025-12-29,KIT-005,24
80,2026-01-05,KIT-005,33
81,2026-01-12,KIT-005,24
82,2026-01-19,KIT-005,27
83,2026-01-26,KIT-005,22
84,2026-02-02,KIT-005,24
85,2026-02-09,KIT-005,33
86,2026-02-16,KIT-005,30
87,2026-02-23,KIT-005,25
88,2026-03-02,KIT-005,23
89,2026-03-09,KIT-005,19
90,2026-03-16,KIT-005,25
91,2026-03-23,KIT-005,26
92,2026-03-30,KIT-005,25
93,2026-04-06,KIT-005,25
94,2026-04-13,KIT-005,21
95,2026-04-20,KIT-005,25
96,2026-04-27,KIT-005,25
97,2026-05-04,KIT-005,29
98,2026-05-11,KIT-005,30
99,2026-05-18,KIT-005,23
100,2026-05-25,KIT-005,21
101,2026-06-01,KIT-005,23
102,2026-06-08,KIT-005,21
103,2026-06-15,KIT-005,21
104,2026-06-22,KIT-005,23
1,2024-07-01,KIT-006,67
2,2024-07-08,KIT-006,53
3,2024-07-15,KIT-006,60
4,2024-07-22,KIT-006,51
5,2024-07-29,KIT-006,41
6,2024-08-05,KIT-006,37
7,2024-08-12,KIT-006,50
8,2024-08-19,KIT-006,44
9,2024-08-26,KIT-006,60
10,2024-09-02,KIT-006,55
11,2024-09-09,KIT-006,29
12,2024-09-16,KIT-006,56
13,2024-09-23,KIT-006,29
14,2024-09-30,KIT-006,43
15,2024-10-07,KIT-006,49
16,2024-10-14,KIT-006,15
17,2024-10-21,KIT-006,57
18,2024-10-28,KIT-006,58
19,2024-11-04,KIT-006,52
20,2024-11-11,KIT-006,47
21,2024-11-18,KIT-006,48
22,2024-11-25,KIT-006,36
23,2024-12-02,KIT-006,50
24,2024-12-09,KIT-006,44
25,2024-12-16,KIT-006,57
26,2024-12-23,KIT-006,32
27,2024-12-30,KIT-006,60
28,2025-01-06,KIT-006,58
29,2025-01-13,KIT-006,52
30,2025-01-20,KIT-006,47
31,2025-01-27,KIT-006,66
32,2025-02-03,KIT-006,23
33,2025-02-10,KIT-006,64
34,2025-02-17,KIT-006,60
35,2025-02-24,KIT-006,60
36,2025-03-03,KIT-006,62
37,2025-03-10,KIT-006,42
38,2025-03-17,KIT-006,50
39,2025-03-24,KIT-006,67
40,2025-03-31,KIT-006,63
41,2025-04-07,KIT-006,59
42,2025-04-14,KIT-006,26
43,2025-04-21,KIT-006,65
44,2025-04-28,KIT-006,78
45,2025-05-05,KIT-006,74
46,2025-05-12,KIT-006,60
47,2025-05-19,KIT-006,25
48,2025-05-26,KIT-006,73
49,2025-06-02,KIT-006,52
50,2025-06-09,KIT-006,6
51,2025-06-16,KIT-006,62
52,2025-06-23,KIT-006,26
53,2025-06-30,KIT-006,30
54,2025-07-07,KIT-006,43
55,2025-07-14,KIT-006,80
56,2025-07-21,KIT-006,48
57,2025-07-28,KIT-006,60
58,2025-08-04,KIT-006,89
59,2025-08-11,KIT-006,86
60,2025-08-18,KIT-006,53
61,2025-08-25,KIT-006,50
62,2025-09-01,KIT-006,31
63,2025-09-08,KIT-006,42
64,2025-09-15,KIT-006,63
65,2025-09-22,KIT-006,63
66,2025-09-29,KIT-006,57
67,2025-10-06,KIT-006,74
68,2025-10-13,KIT-006,40
69,2025-10-20,KIT-006,54
70,2025-10-27,KIT-006,69
71,2025-11-03,KIT-006,66
72,2025-11-10,KIT-006,76
73,2025-11-17,KIT-006,63
74,2025-11-24,KIT-006,49
75,2025-12-01,KIT-006,62
76,2025-12-08,KIT-006,36
77,2025-12-15,KIT-006,23
78,2025-12-22,KIT-006,66
79,2025-12-29,KIT-006,54
80,2026-01-05,KIT-006,61
81,2026-01-12,KIT-006,22
82,2026-01-19,KIT-006,48
83,2026-01-26,KIT-006,43
84,2026-02-02,KIT-006,38
85,2026-02-09,KIT-006,11
86,2026-02-16,KIT-006,49
87,2026-02-23,KIT-006,72
88,2026-03-02,KIT-006,62
89,2026-03-09,KIT-006,43
90,2026-03-16,KIT-006,55
91,2026-03-23,KIT-006,70
92,2026-03-30,KIT-006,2
93,2026-04-06,KIT-006,53
94,2026-04-13,KIT-006,65
95,2026-04-20,KIT-006,68
96,2026-04-27,KIT-006,88
97,2026-05-04,KIT-006,77
98,2026-05-11,KIT-006,61
99,2026-05-18,KIT-006,61
100,2026-05-25,KIT-006,70
101,2026-06-01,KIT-006,45
102,2026-06-08,KIT-006,54
103,2026-06-15,KIT-006,72
104,2026-06-22,KIT-006,93
1,2024-07-01,KIT-007,8
2,2024-07-08,KIT-007,9
3,2024-07-15,KIT-007,3
4,2024-07-22,KIT-007,6
5,2024-07-29,KIT-007,6
6,2024-08-05,KIT-007,5
7,2024-08-12,KIT-007,7
8,2024-08-19,KIT-007,3
9,2024-08-26,KIT-007,11
10,2024-09-02,KIT-007,7
11,2024-09-09,KIT-007,8
12,2024-09-16,KIT-007,5
13,2024-09-23,KIT-007,5
14,2024-09-30,KIT-007,7
15,2024-10-07,KIT-007,5
16,2024-10-14,KIT-007,6
17,2024-10-21,KIT-007,5
18,2024-10-28,KIT-007,4
19,2024-11-04,KIT-007,8
20,2024-11-11,KIT-007,8
21,2024-11-18,KIT-007,5
22,2024-11-25,KIT-007,9
23,2024-12-02,KIT-007,14
24,2024-12-09,KIT-007,4
25,2024-12-16,KIT-007,8
26,2024-12-23,KIT-007,6
27,2024-12-30,KIT-007,5
28,2025-01-06,KIT-007,7
29,2025-01-13,KIT-007,7
30,2025-01-20,KIT-007,5
31,2025-01-27,KIT-007,3
32,2025-02-03,KIT-007,2
33,2025-02-10,KIT-007,4
34,2025-02-17,KIT-007,6
35,2025-02-24,KIT-007,2
36,2025-03-03,KIT-007,6
37,2025-03-10,KIT-007,10
38,2025-03-17,KIT-007,2
39,2025-03-24,KIT-007,6
40,2025-03-31,KIT-007,7
41,2025-04-07,KIT-007,10
42,2025-04-14,KIT-007,4
43,2025-04-21,KIT-007,8
44,2025-04-28,KIT-007,5
45,2025-05-05,KIT-007,6
46,2025-05-12,KIT-007,2
47,2025-05-19,KIT-007,9
48,2025-05-26,KIT-007,8
49,2025-06-02,KIT-007,6
50,2025-06-09,KIT-007,11
51,2025-06-16,KIT-007,5
52,2025-06-23,KIT-007,4
53,2025-06-30,KIT-007,5
54,2025-07-07,KIT-007,9
55,2025-07-14,KIT-007,6
56,2025-07-21,KIT-007,3
57,2025-07-28,KIT-007,5
58,2025-08-04,KIT-007,10
59,2025-08-11,KIT-007,10
60,2025-08-18,KIT-007,12
61,2025-08-25,KIT-007,5
62,2025-09-01,KIT-007,8
63,2025-09-08,KIT-007,9
64,2025-09-15,KIT-007,5
65,2025-09-22,KIT-007,8
66,2025-09-29,KIT-007,8
67,2025-10-06,KIT-007,5
68,2025-10-13,KIT-007,8
69,2025-10-20,KIT-007,8
70,2025-10-27,KIT-007,10
71,2025-11-03,KIT-007,6
72,2025-11-10,KIT-007,7
73,2025-11-17,KIT-007,9
74,2025-11-24,KIT-007,7
75,2025-12-01,KIT-007,7
76,2025-12-08,KIT-007,0
77,2025-12-15,KIT-007,11
78,2025-12-22,KIT-007,11
79,2025-12-29,KIT-007,3
80,2026-01-05,KIT-007,6
81,2026-01-12,KIT-007,5
82,2026-01-19,KIT-007,4
83,2026-01-26,KIT-007,8
84,2026-02-02,KIT-007,5
85,2026-02-09,KIT-007,10
86,2026-02-16,KIT-007,7
87,2026-02-23,KIT-007,12
88,2026-03-02,KIT-007,5
89,2026-03-09,KIT-007,9
90,2026-03-16,KIT-007,7
91,2026-03-23,KIT-007,7
92,2026-03-30,KIT-007,11
93,2026-04-06,KIT-007,6
94,2026-04-13,KIT-007,4
95,2026-04-20,KIT-007,7
96,2026-04-27,KIT-007,7
97,2026-05-04,KIT-007,12
98,2026-05-11,KIT-007,5
99,2026-05-18,KIT-007,7
100,2026-05-25,KIT-007,13
101,2026-06-01,KIT-007,7
102,2026-06-08,KIT-007,9
103,2026-06-15,KIT-007,9
104,2026-06-22,KIT-007,9
1,2024-07-01,KIT-008,46
2,2024-07-08,KIT-008,50
3,2024-07-15,KIT-008,42
4,2024-07-22,KIT-008,37
5,2024-07-29,KIT-008,43
6,2024-08-05,KIT-008,39
7,2024-08-12,KIT-008,43
8,2024-08-19,KIT-008,41
9,2024-08-26,KIT-008,41
10,2024-09-02,KIT-008,43
11,2024-09-09,KIT-008,38
12,2024-09-16,KIT-008,38
13,2024-09-23,KIT-008,33
14,2024-09-30,KIT-008,38
15,2024-10-07,KIT-008,34
16,2024-10-14,KIT-008,39
17,2024-10-21,KIT-008,36
18,2024-10-28,KIT-008,40
19,2024-11-04,KIT-008,42
20,2024-11-11,KIT-008,34
21,2024-11-18,KIT-008,37
22,2024-11-25,KIT-008,36
23,2024-12-02,KIT-008,43
24,2024-12-09,KIT-008,47
25,2024-12-16,KIT-008,44
26,2024-12-23,KIT-008,39
27,2024-12-30,KIT-008,46
28,2025-01-06,KIT-008,34
29,2025-01-13,KIT-008,46
30,2025-01-20,KIT-008,37
31,2025-01-27,KIT-008,28
32,2025-02-03,KIT-008,51
33,2025-02-10,KIT-008,47
34,2025-02-17,KIT-008,36
35,2025-02-24,KIT-008,41
36,2025-03-03,KIT-008,39
37,2025-03-10,KIT-008,40
38,2025-03-17,KIT-008,34
39,2025-03-24,KIT-008,37
40,2025-03-31,KIT-008,42
41,2025-04-07,KIT-008,41
42,2025-04-14,KIT-008,45
43,2025-04-21,KIT-008,40
44,2025-04-28,KIT-008,50
45,2025-05-05,KIT-008,37
46,2025-05-12,KIT-008,41
47,2025-05-19,KIT-008,32
48,2025-05-26,KIT-008,35
49,2025-06-02,KIT-008,46
50,2025-06-09,KIT-008,36
51,2025-06-16,KIT-008,42
52,2025-06-23,KIT-008,40
53,2025-06-30,KIT-008,36
54,2025-07-07,KIT-008,39
55,2025-07-14,KIT-008,38
56,2025-07-21,KIT-008,38
57,2025-07-28,KIT-008,43
58,2025-08-04,KIT-008,43
59,2025-08-11,KIT-008,38
60,2025-08-18,KIT-008,36
61,2025-08-25,KIT-008,41
62,2025-09-01,KIT-008,40
63,2025-09-08,KIT-008,44
64,2025-09-15,KIT-008,51
65,2025-09-22,KIT-008,44
66,2025-09-29,KIT-008,40
67,2025-10-06,KIT-008,39
68,2025-10-13,KIT-008,36
69,2025-10-20,KIT-008,36
70,2025-10-27,KIT-008,36
71,2025-11-03,KIT-008,38
72,2025-11-10,KIT-008,38
73,2025-11-17,KIT-008,43
74,2025-11-24,KIT-008,38
75,2025-12-01,KIT-008,39
76,2025-12-08,KIT-008,35
77,2025-12-15,KIT-008,47
78,2025-12-22,KIT-008,42
79,2025-12-29,KIT-008,48
80,2026-01-05,KIT-008,43
81,2026-01-12,KIT-008,46
82,2026-01-19,KIT-008,39
83,2026-01-26,KIT-008,43
84,2026-02-02,KIT-008,51
85,2026-02-09,KIT-008,35
86,2026-02-16,KIT-008,45
87,2026-02-23,KIT-008,47
88,2026-03-02,KIT-008,42
89,2026-03-09,KIT-008,43
90,2026-03-16,KIT-008,45
91,2026-03-23,KIT-008,37
92,2026-03-30,KIT-008,42
93,2026-04-06,KIT-008,36
94,2026-04-13,KIT-008,37
